L_ORDERKEY,L_PARTKEY,L_SUPPKEY,L_LINENUMBER,L_QUANTITY,L_EXTENDEDPRICE,L_DISCOUNT,L_TAX,L_RETURNFLAG,L_LINESTATUS,L_SHIPDATE,L_COMMITDATE,L_RECEIPTDATE,L_SHIPINSTRUCT,L_SHIPMODE,L_COMMENT
3372611,176511,1546,4,16.00,25400.16,0.02,0.05,N,O,1997-12-05,1997-12-10,1998-01-01,COLLECT COD,RAIL,y pending pinto beans. regular pa
1723973,117683,5217,7,23.00,39115.64,0.05,0.05,N,O,1997-12-30,1997-12-06,1998-01-01,DELIVER IN PERSON,FOB, furiously ironic instructions are. pending
1254723,54364,6870,2,24.00,31640.64,0.10,0.06,N,O,1997-12-07,1998-01-10,1998-01-01,TAKE BACK RETURN,TRUCK,g the fluffily unusual ideas.
5815780,117330,2353,6,12.00,16167.96,0.04,0.03,N,O,1997-12-03,1998-01-21,1998-01-01,COLLECT COD,RAIL, packages wake. special
775169,160266,5299,1,25.00,33156.50,0.09,0.06,N,O,1997-12-02,1998-01-11,1998-01-01,DELIVER IN PERSON,FOB,usily regular foxes around the bl
3687173,85300,7809,3,37.00,47556.10,0.10,0.00,N,O,1997-12-09,1997-11-18,1998-01-01,COLLECT COD,TRUCK,en pinto beans. blithely unusual instru
3709607,82219,7236,3,31.00,37237.51,0.06,0.07,N,O,1997-12-24,1997-10-15,1998-01-01,DELIVER IN PERSON,TRUCK,ully pending instructions mold blith
3432006,54471,9482,3,20.00,28509.40,0.00,0.03,N,O,1997-12-17,1997-12-09,1998-01-01,COLLECT COD,RAIL,terns. quickly silent requests cajole. fur
1376231,35833,3343,3,5.00,8844.15,0.07,0.07,N,O,1997-12-10,1997-11-24,1998-01-01,DELIVER IN PERSON,RAIL,lar requests. even dep
4251874,112101,2102,5,11.00,12244.10,0.06,0.07,N,O,1997-12-07,1998-02-01,1998-01-01,COLLECT COD,TRUCK, foxes acros
4820390,42452,7461,5,40.00,55778.00,0.04,0.07,N,O,1997-12-18,1997-12-22,1998-01-01,NONE,FOB,ly express instructions. carefully reg
4337287,103694,8715,6,2.00,3395.38,0.08,0.06,N,O,1997-12-21,1997-12-04,1998-01-01,DELIVER IN PERSON,REG AIR,eans cajole carefully; carefully ironic
5888706,196643,6644,3,40.00,69585.60,0.04,0.05,N,O,1997-12-06,1997-12-09,1998-01-01,NONE,REG AIR,ag blithely alon
2801895,153193,739,6,3.00,3738.57,0.01,0.01,N,O,1997-12-16,1997-10-25,1998-01-01,TAKE BACK RETURN,TRUCK,e the carefully bold
1685255,24065,6568,3,19.00,18792.14,0.09,0.03,N,O,1997-12-29,1997-11-07,1998-01-01,DELIVER IN PERSON,AIR,pinto beans
3463334,6904,9405,4,47.00,85112.30,0.08,0.00,N,O,1997-12-14,1997-11-30,1998-01-01,DELIVER IN PERSON,REG AIR,ding Tiresias are carefully ev
1373696,50508,8024,2,9.00,13126.50,0.02,0.02,N,O,1997-12-17,1997-11-22,1998-01-01,COLLECT COD,AIR,fully pending requests
1288134,43322,5827,2,10.00,12653.20,0.00,0.06,N,O,1997-12-08,1997-09-23,1998-01-01,COLLECT COD,TRUCK,"ffily final theodolites. regular, r"
5743013,120150,5175,1,37.00,43295.55,0.07,0.05,N,O,1997-12-26,1998-01-31,1998-01-01,DELIVER IN PERSON,AIR,above the blithely express dep
1332707,94988,4989,1,32.00,63455.36,0.02,0.05,N,O,1997-12-20,1997-12-19,1998-01-01,TAKE BACK RETURN,RAIL, special acc
501312,178406,3441,3,46.00,68282.40,0.02,0.08,N,O,1997-12-12,1997-12-09,1998-01-01,DELIVER IN PERSON,REG AIR,ct furiously against the quickly bold theo
5057792,193282,5802,4,46.00,63262.88,0.09,0.01,N,O,1997-12-26,1997-11-26,1998-01-01,NONE,SHIP,ns. silent deposits cajole across the 
5231684,189515,9516,6,34.00,54553.34,0.07,0.06,N,O,1997-12-15,1998-01-02,1998-01-01,NONE,MAIL,ideas sleep carefully along
212070,184786,7305,3,49.00,91668.22,0.06,0.05,N,O,1997-12-09,1997-11-22,1998-01-01,DELIVER IN PERSON,REG AIR,onically according to t
1019842,58932,1438,5,21.00,39709.53,0.03,0.04,N,O,1997-12-02,1997-09-29,1998-01-01,TAKE BACK RETURN,FOB,totes across the blithely bold accounts
325509,17656,5160,3,12.00,18883.80,0.00,0.06,N,O,1997-12-17,1997-11-02,1998-01-01,COLLECT COD,TRUCK,le fluffily among the quickly i
5740486,128243,756,4,21.00,26696.04,0.03,0.00,N,O,1997-12-28,1997-11-13,1998-01-01,COLLECT COD,RAIL, accounts. un
4844613,44892,7397,3,17.00,31227.13,0.08,0.05,N,O,1997-12-13,1997-11-29,1998-01-01,DELIVER IN PERSON,FOB,lyly. fluffily bold ac
5049376,157203,2234,4,15.00,18903.00,0.04,0.02,N,O,1997-12-09,1998-01-18,1998-01-01,DELIVER IN PERSON,RAIL,y regular pin
5474946,96805,1824,1,8.00,14414.40,0.04,0.05,N,O,1997-12-21,1998-01-16,1998-01-01,TAKE BACK RETURN,FOB, deposits serve after 
5413888,90391,392,2,45.00,62162.55,0.00,0.03,N,O,1997-12-25,1998-01-18,1998-01-01,TAKE BACK RETURN,SHIP, express deposits. fluffily re
2602053,17154,2157,1,27.00,28921.05,0.01,0.01,N,O,1997-12-04,1997-10-09,1998-01-01,DELIVER IN PERSON,AIR,ular deposits slee
3438564,104332,1863,3,14.00,18708.62,0.08,0.05,N,O,1997-12-04,1998-01-05,1998-01-01,TAKE BACK RETURN,REG AIR, quickly ironic accounts
5215395,134238,1778,1,5.00,6361.15,0.03,0.07,N,O,1997-12-14,1997-12-14,1998-01-01,NONE,SHIP,lithely bold theodolites
3712864,110948,5971,1,2.00,3917.88,0.03,0.03,N,O,1997-12-21,1997-12-01,1998-01-01,TAKE BACK RETURN,SHIP,the accounts. express platelets cajole car
3199684,79457,9458,6,2.00,2872.90,0.04,0.03,N,O,1997-12-08,1998-02-09,1998-01-01,NONE,FOB,n requests. ideas ca
4510786,126774,1799,3,2.00,3601.54,0.00,0.06,N,O,1997-12-05,1997-11-19,1998-01-01,TAKE BACK RETURN,REG AIR,ly. quickly ironic theodolit
2445031,165028,61,1,23.00,25139.46,0.10,0.03,N,O,1997-12-20,1998-02-25,1998-01-01,COLLECT COD,AIR,"ar, bold requests. fur"
1910048,112019,9553,2,16.00,16496.16,0.02,0.01,N,O,1997-12-30,1998-01-30,1998-01-01,TAKE BACK RETURN,RAIL,xes nag slyly s
4032160,21200,1201,4,27.00,30272.40,0.00,0.01,N,O,1997-12-04,1997-11-08,1998-01-01,DELIVER IN PERSON,TRUCK,nic accounts after t
