O_ORDERKEY,O_CUSTKEY,O_ORDERSTATUS,O_TOTALPRICE,O_ORDERDATE,O_ORDERPRIORITY,O_CLERK,O_SHIPPRIORITY,O_COMMENT
2977186,148300,O,158065.53,1997-08-24,2-HIGH,Clerk#000000873,0,ely final platelets play among the furiously regular acco
5239714,116324,O,266443.34,1997-08-23,4-NOT SPECIFIED,Clerk#000000967,0,nding theodolites-- blithely express requests integ
4353282,106978,O,330381.55,1997-10-24,5-LOW,Clerk#000000387,0,unts unwind slyly carefully final packages. pending requests use. blithely
2089063,101635,O,341582.54,1997-11-01,1-URGENT,Clerk#000000384,0,c accounts haggle across the blithely pending packages. slyly ironic theodolit
2506210,54599,O,184679.27,1997-09-18,4-NOT SPECIFIED,Clerk#000000467,0,ar accounts. slyly final 
3173414,48077,O,88073.55,1997-10-30,2-HIGH,Clerk#000000015,0, the ironic instructions. fluffily spec
2100071,2339,O,183620.47,1997-09-02,4-NOT SPECIFIED,Clerk#000000696,0,ending Tiresias. carefully special ide
1433890,29168,O,220808.87,1997-11-17,2-HIGH,Clerk#000000551,0,ng to the carefully regular foxes. deposits are slyly unusual foxes. blithely 
649252,119978,O,78124.98,1997-09-06,4-NOT SPECIFIED,Clerk#000000279,0,"s haggle after the regular packages. ironic, regular excuses above the "
2681827,46837,O,242634.04,1997-09-01,2-HIGH,Clerk#000000603,0,s excuses sleep above the slyly pending ideas. 
5019206,121699,O,211638.56,1997-11-26,2-HIGH,Clerk#000000388,0,ular deposits among the furiously regular packages sleep fluffily silent 
2745505,56471,O,276075.47,1997-11-13,1-URGENT,Clerk#000000824,0,ts. blithely sly acco
3766596,42988,O,211386.61,1997-09-24,5-LOW,Clerk#000000700,0,"uests. even, pending dep"
426918,49433,O,247164.92,1997-11-06,4-NOT SPECIFIED,Clerk#000000221,0,deposits. blithely final packages sleep after the unusual
480452,51962,O,160553.77,1997-12-02,5-LOW,Clerk#000000013,0,ggle furiously carefully final pains. asymptotes detect ideas.
3470852,15775,O,161161.16,1997-10-18,4-NOT SPECIFIED,Clerk#000000203,0, packages sleep among the slyly even sheaves. even
1991751,67975,O,149157.90,1997-11-29,5-LOW,Clerk#000000416,0,uriously even packages. slyly special pinto beans alongside of the silent
3543270,37217,O,114919.30,1997-10-20,4-NOT SPECIFIED,Clerk#000000951,0, slyly against the slyly regular deposits
3052867,73651,O,290440.28,1997-10-06,4-NOT SPECIFIED,Clerk#000000062,0,requests use carefully. slyly ironic deposits wake outside the care
2701799,25832,O,78733.94,1997-10-01,4-NOT SPECIFIED,Clerk#000000348,0,ly even excuses serve blithely above the regular requests. fur
3838085,54821,O,171475.54,1997-08-25,1-URGENT,Clerk#000000375,0,e excuses nag fluffily ironic gif
5452006,131956,O,219548.65,1997-09-08,4-NOT SPECIFIED,Clerk#000000666,0,"y silent theodolites haggle unusual, b"
1537860,26932,O,136187.77,1997-09-12,1-URGENT,Clerk#000000246,0,dolites about the bo
278820,125792,O,184073.73,1997-09-02,1-URGENT,Clerk#000000917,0,blithely among the bold accounts. blithely pending packa
4875813,80962,O,211932.73,1997-09-11,3-MEDIUM,Clerk#000000127,0,ets wake quickly according to the express pinto beans. fluffily unusu
1582309,5410,O,141432.58,1997-09-06,3-MEDIUM,Clerk#000000949,0,es. furiously regular theodolites detect carefully over the i
2019045,76795,O,97176.93,1997-11-27,2-HIGH,Clerk#000000861,0,ic realms among the quickly regular ideas cajole blithely blithe
2430690,42802,O,123201.01,1997-09-03,4-NOT SPECIFIED,Clerk#000000901,0,. daringly ironic deposits wake ironi
2021349,59327,O,66293.39,1997-09-15,4-NOT SPECIFIED,Clerk#000000516,0,ess deposits. ironi
2742951,61057,O,101989.50,1997-12-19,5-LOW,Clerk#000000415,0,furiously. slyly express dolphins ac
1271074,122429,O,96008.90,1997-10-17,2-HIGH,Clerk#000000868,0,nusual theodolites wake slyly according to t
2494087,113479,O,212312.69,1997-09-25,1-URGENT,Clerk#000000717,0," ironic dolphins haggle slyly beyond the regular,"
1164833,117176,O,102900.04,1997-12-07,1-URGENT,Clerk#000000517,0,"e to detect. even, final deposits haggle furiously. unusu"
2243520,76699,O,65435.23,1997-09-09,2-HIGH,Clerk#000000637,0, slyly final deposits detect furiously. blithely fin
485632,65923,O,145212.46,1997-09-17,4-NOT SPECIFIED,Clerk#000000470,0, carefully regular foxes detect against the furiously expre
4834210,46265,O,51597.25,1997-09-11,2-HIGH,Clerk#000000009,0,regular instructions; blithely special excuses after the 
1994627,45352,O,170026.67,1997-11-15,5-LOW,Clerk#000000297,0,packages according to the furiously even
3797382,69652,O,168266.38,1997-10-16,1-URGENT,Clerk#000000341,0,"osits use unusual, sly requests. fin"
5611043,36767,O,305052.63,1997-11-27,5-LOW,Clerk#000000041,0," regular, unusual deposits cajole sometimes accordin"
5515586,70546,O,218655.90,1997-09-02,5-LOW,Clerk#000000514,0,ely even foxes affix across the 
5765765,17015,O,133420.65,1997-09-26,1-URGENT,Clerk#000000277,0,s. blithely regular dependencies about the regular pl
872615,86612,O,338003.97,1997-09-18,1-URGENT,Clerk#000000626,0,ackages cajole. carefully silent excuses w
5387845,85628,O,110310.02,1997-10-06,4-NOT SPECIFIED,Clerk#000000295,0, above the pains. quickly regular packages haggle; slyly express dolp
2293028,69814,O,212115.69,1997-09-26,2-HIGH,Clerk#000000761,0,silent packages integrate blithely regular 
4368164,84199,O,127273.60,1997-12-12,2-HIGH,Clerk#000000772,0, slyly. furiously even accounts integrate dependencies. carefully final 
1283111,147448,O,203346.34,1997-10-20,3-MEDIUM,Clerk#000000284,0,out the pinto beans. final accounts use blithel
1111108,107395,O,91584.27,1997-10-24,2-HIGH,Clerk#000000504,0, promise carefully ironic theodo
4645767,78919,O,282518.59,1997-11-17,4-NOT SPECIFIED,Clerk#000000883,0,ts hinder fluffily carefully final theodolite
