P_PARTKEY,P_NAME,P_MFGR,P_BRAND,P_TYPE,P_SIZE,P_CONTAINER,P_RETAILPRICE,P_COMMENT
1637,white green ghost frosted aquamarine,Manufacturer#4,Brand#42,PROMO BRUSHED BRASS,48,LG DRUM,1538.63,play. carefully dari
50387,chocolate orange forest snow linen,Manufacturer#3,Brand#34,PROMO POLISHED NICKEL,4,SM CASE,1337.38, care
158551,navy moccasin olive cyan light,Manufacturer#4,Brand#42,PROMO POLISHED STEEL,6,WRAP JAR,1609.55, deposi
129372,khaki goldenrod firebrick midnight turquoise,Manufacturer#1,Brand#11,ECONOMY ANODIZED TIN,1,JUMBO DRUM,1401.37,lithely pending accoun
364,puff almond blanched drab misty,Manufacturer#4,Brand#43,LARGE BRUSHED NICKEL,21,MED PKG,1264.36,ach caref
150214,powder thistle peru chiffon olive,Manufacturer#3,Brand#32,MEDIUM PLATED STEEL,3,JUMBO PACK,1264.21,e according to
120855,burlywood peach olive wheat salmon,Manufacturer#2,Brand#22,ECONOMY BRUSHED TIN,13,SM CAN,1875.85,ealthy pinto beans a
112998,mint hot blush chartreuse lawn,Manufacturer#4,Brand#43,SMALL BRUSHED NICKEL,28,SM DRUM,2010.99,g to 
79682,lawn dodger lime hot pink,Manufacturer#1,Brand#11,ECONOMY POLISHED STEEL,36,JUMBO PKG,1661.68,regular plat
115419,seashell blue cornflower honeydew dim,Manufacturer#5,Brand#52,ECONOMY POLISHED TIN,6,JUMBO CASE,1434.41,ly furiously bo
194014,white cornsilk powder firebrick navajo,Manufacturer#4,Brand#42,MEDIUM PLATED STEEL,14,LG CASE,1108.01,ar notornis. sly
93013,coral aquamarine maroon lemon slate,Manufacturer#4,Brand#41,MEDIUM POLISHED NICKEL,31,MED PKG,1006.01,s. fluffily special 
154098,bisque dim peach cornflower azure,Manufacturer#4,Brand#41,MEDIUM BURNISHED NICKEL,46,LG DRUM,1152.09,y pending mult
101824,khaki violet cornsilk cyan blanched,Manufacturer#4,Brand#41,STANDARD ANODIZED NICKEL,3,LG PACK,1825.82,areful
7806,rose purple dim navy papaya,Manufacturer#1,Brand#15,ECONOMY BRUSHED NICKEL,12,JUMBO DRUM,1713.80,osits. slyly
172822,lemon spring violet gainsboro peru,Manufacturer#1,Brand#13,STANDARD ANODIZED TIN,36,JUMBO PACK,1894.82,ncies boost r
80355,turquoise grey midnight blush olive,Manufacturer#1,Brand#15,SMALL BURNISHED BRASS,38,MED JAR,1335.35,e carefully ironic
181793,puff black cyan cornflower orange,Manufacturer#4,Brand#41,MEDIUM ANODIZED COPPER,15,MED CAN,1874.79, furi
116788,cornflower cream peru royal metallic,Manufacturer#1,Brand#12,LARGE ANODIZED NICKEL,49,JUMBO BAG,1804.78,ggle furiously. instru
194319,magenta yellow orange cream saddle,Manufacturer#3,Brand#32,STANDARD PLATED STEEL,6,JUMBO DRUM,1413.31,y bold de
84157,drab navajo spring moccasin indian,Manufacturer#1,Brand#15,SMALL BURNISHED COPPER,44,WRAP BAG,1141.15,ct against t
50405,lavender navy steel lawn salmon,Manufacturer#4,Brand#43,MEDIUM BURNISHED BRASS,40,WRAP BOX,1355.40, slyly. fin
195393,lavender metallic powder chocolate bisque,Manufacturer#2,Brand#25,ECONOMY POLISHED TIN,1,LG PACK,1488.39,usly speci
80659,linen chocolate chartreuse lavender cyan,Manufacturer#2,Brand#21,PROMO PLATED BRASS,31,MED CAN,1639.65,the carefully sly
15182,misty drab blanched salmon powder,Manufacturer#4,Brand#41,ECONOMY BURNISHED TIN,16,MED CAN,1097.18,kages nag a
197109,orange pink light midnight metallic,Manufacturer#4,Brand#45,PROMO POLISHED TIN,26,LG BOX,1206.10, even hockey 
3733,saddle linen pink smoke blush,Manufacturer#4,Brand#41,PROMO PLATED NICKEL,27,LG PACK,1636.73,s the carefully unusu
162669,forest thistle spring burnished cornsilk,Manufacturer#3,Brand#33,LARGE BURNISHED STEEL,31,WRAP PKG,1731.66,theodol
52886,plum purple frosted light brown,Manufacturer#1,Brand#15,PROMO BRUSHED BRASS,47,SM DRUM,1838.88,". regular, "
192936,pale linen moccasin chocolate peru,Manufacturer#3,Brand#35,SMALL BRUSHED TIN,37,LG PACK,2028.93,y furiously
83083,orange gainsboro drab metallic orchid,Manufacturer#3,Brand#32,STANDARD PLATED COPPER,12,WRAP CASE,1066.08,ly ironic
88785,salmon plum almond lemon pink,Manufacturer#2,Brand#23,STANDARD PLATED COPPER,7,LG CASE,1773.78,ions doze across 
82642,midnight sienna burnished blanched olive,Manufacturer#2,Brand#21,SMALL ANODIZED NICKEL,7,MED BAG,1624.64,nic excuses. furio
179293,chocolate sky antique sienna spring,Manufacturer#3,Brand#35,PROMO POLISHED NICKEL,24,LG BAG,1372.29,even dependencies
118675,deep royal thistle papaya linen,Manufacturer#5,Brand#54,SMALL BRUSHED STEEL,27,WRAP CASE,1693.67, beans 
